,Reactor Unit,Docket Number,2015 CF,2016 CF,2017 CF,2018 CF,2019 CF,Mean_CF,STD_CF
0,"Arkansas Nuclear One, Unit 1",5000313,82.0,72.0,87.0,76.0,87.0,80.8,5.979966555090421
1,"Arkansas Nuclear One, Unit 2",5000368,89.0,94.0,70.0,82.0,82.0,83.4,8.089499366462675
2,"Beaver Valley Power Station, Unit 1",5000334,90.0,91.0,99.0,92.0,91.0,92.6,3.2619012860600183
3,"Beaver Valley Power Station, Unit 2",5000412,90.0,97.0,90.0,90.0,100.0,93.4,4.2708313008125245
4,"Braidwood Station, Unit 1",5000456,93.0,90.0,98.0,93.0,94.0,93.6,2.5768197453450252
5,"Braidwood Station, Unit 2",5000457,91.0,95.0,88.0,92.0,100.0,93.2,4.069397989875161
6,"Browns Ferry Nuclear Plant, Unit 1",5000259,94.0,83.0,97.0,82.0,99.0,91.0,7.127411872482185
7,"Browns Ferry Nuclear Plant, Unit 2",5000260,85.0,94.0,83.0,97.0,80.0,87.8,6.554387843269575
8,"Browns Ferry Nuclear Plant, Unit 3",5000296,92.0,80.0,93.0,76.0,94.0,87.0,7.483314773547883
9,"Brunswick Steam Electric Plant, Unit 1",5000325,93.0,83.0,93.0,85.0,92.0,89.2,4.308131845707604
10,"Brunswick Steam Electric Plant, Unit 2",5000324,81.0,92.0,82.0,93.0,85.0,86.6,5.0039984012787215
11,"Byron Station, Unit 1",5000454,88.0,97.0,89.0,94.0,100.0,93.6,4.586937976471886
12,"Byron Station, Unit 2",5000455,94.0,86.0,89.0,100.0,95.0,92.8,4.874423042781576
13,Callaway Plant,5000483,96.0,87.0,77.0,100.0,86.0,89.2,8.084553172563094
14,"Calvert Cliffs Nuclear Power Plant, Unit 1",5000317,97.0,89.0,97.0,92.0,100.0,95.0,3.9496835316262997
15,"Calvert Cliffs Nuclear Power Plant, Unit 2",5000318,86.0,95.0,91.0,100.0,92.0,92.8,4.621688003316537
16,"Catawba Nuclear Station, Unit 1",5000413,88.0,97.0,90.0,93.0,100.0,93.6,4.409081537009721
17,"Catawba Nuclear Station, Unit 2",5000414,86.0,88.0,96.0,91.0,92.0,90.6,3.4409301068170506
18,"Clinton Power Station, Unit 1",5000461,87.0,89.0,84.0,88.0,87.0,87.0,1.6733200530681511
19,Columbia Generating Station,5000397,78.0,92.0,77.0,96.0,88.0,86.2,7.547184905645284
20,"Comanche Peak Nuclear Power Plant, Unit 1",5000445,100.0,92.0,91.0,100.0,89.0,94.4,4.673328578219169
21,"Comanche Peak Nuclear Power Plant, Unit 2",5000446,88.0,100.0,68.0,93.0,94.0,88.6,10.983624174196784
22,Cooper Nuclear Station,5000298,97.0,84.0,99.0,81.0,100.0,92.2,8.034923770640267
23,"Davis-Besse Nuclear Power Station, Unit 1",5000346,97.0,79.0,97.0,93.0,98.0,92.8,7.11055553385247
24,"Diablo Canyon Nuclear Power Plant, Unit 1",5000275,87.0,98.0,81.0,98.0,89.0,90.6,6.590902821313633
25,"Diablo Canyon Nuclear Power Plant, Unit 2",5000323,95.0,88.0,95.0,87.0,75.0,88.0,7.321202087089251
26,"Donald C. Cook Nuclear Plant, Unit 1",5000315,78.0,82.0,72.0,100.0,79.0,82.2,9.47417542586161
27,"Donald C. Cook Nuclear Plant, Unit 2",5000316,79.0,71.0,104.0,79.0,84.0,83.4,11.110355529864918
28,"Dresden Nuclear Power Station, Unit 2",5000237,83.0,91.0,84.0,99.0,89.0,89.2,5.741080037762929
29,"Dresden Nuclear Power Station, Unit 3",5000249,89.0,84.0,91.0,94.0,99.0,91.4,5.0039984012787215
30,Duane Arnold Energy Center,5000331,88.0,79.0,88.0,93.0,99.0,89.4,6.590902821313633
31,"Edwin I. Hatch Nuclear Plant, Unit 1",5000321,101.0,93.0,97.0,91.0,98.0,96.0,3.5777087639996634
32,"Edwin I. Hatch Nuclear Plant, Unit 2",5000366,91.0,101.0,95.0,95.0,82.0,92.8,6.273754856543249
33,"Fermi, Unit 2",5000341,69.0,86.0,82.0,75.0,99.0,82.2,10.225458424931373
34,"Grand Gulf Nuclear Station, Unit 1",5000416,93.0,47.0,58.0,57.0,88.0,68.6,18.358649187780674
35,"H. B. Robinson Steam Electric Plant, Unit 2",5000261,85.0,95.0,88.0,79.0,94.0,88.2,5.912698199637792
36,"Hope Creek Generating Station, Unit 1",5000354,83.0,85.0,94.0,90.0,84.0,87.2,4.166533331199932
