,Docket Number,Unit Name,Rated MW,License Expiration Date
0,5000275,Diablo Canyon 1,3411,2024-11-02
1,5000286,Indian Point 3,3216,2025-04-30
2,5000323,Diablo Canyon 2,3411,2025-08-26
3,5000461,Clinton,3473,2026-09-29
4,5000440,Perry 1,3758,2026-11-07
5,5000220,Nine Mile Point 1,1850,2029-08-22
6,5000244,Ginna,1775,2029-09-18
7,5000237,Dresden 2,2957,2029-12-22
8,5000445,Comanche Peak 1,3612,2030-02-08
9,5000261,Robinson 2,2339,2030-07-31
10,5000263,Monticello,2004,2030-09-08
11,5000266,Point Beach 1,1800,2030-10-05
12,5000249,Dresden 3,2957,2031-01-12
13,5000255,Palisades,2565,2031-03-24
14,5000280,Surry 1,2587,2032-05-25
15,5000254,Quad Cities 1,2957,2032-12-14
16,5000265,Quad Cities 2,2957,2032-12-14
17,5000281,Surry 2,2587,2033-01-29
18,5000446,Comanche Peak 2,3612,2033-02-02
19,5000269,Oconee 1,2568,2033-02-06
20,5000301,Point Beach 2,1800,2033-03-08
21,5000282,Prairie Island 1,1677,2033-08-09
22,5000270,Oconee 2,2568,2033-10-06
23,5000259,Browns Ferry 1,3952,2033-12-20
24,5000298,Cooper,2419,2034-01-18
25,5000331,Duane Arnold,1912,2034-02-21
26,5000313,ANO 1,2568,2034-05-20
27,5000260,Browns Ferry 2,3952,2034-06-28
28,5000287,Oconee 3,2568,2034-07-19
29,5000317,Calvert Cliffs 1,2737,2034-07-31
30,5000321,Hatch 1,2804,2034-08-06
31,5000333,FitzPatrick,2536,2034-10-17
32,5000315,D.C. Cook 1,3304,2034-10-25
33,5000306,Prairie Island 2,1677,2034-10-29
34,5000324,Brunswick 2,2923,2034-12-27
35,5000336,Millstone 2,2700,2035-07-31
36,5000390,Watts Bar 1,3459,2035-11-09
37,5000334,Beaver Valley 1,2900,2036-01-29
38,5000335,Saint Lucie 1,3020,2036-03-01
39,5000296,Browns Ferry 3,3952,2036-07-02
40,5000272,Salem 1,3459,2036-08-13
41,5000318,Calvert Cliffs 2,2737,2036-08-13
42,5000325,Brunswick 1,2923,2036-09-08
43,5000346,Davis-Besse,2817,2037-04-22
44,5000348,Farley 1,2775,2037-06-25
45,5000316,D.C. Cook 2,3468,2037-12-23
46,5000338,North Anna 1,2940,2038-04-01
47,5000366,Hatch 2,2804,2038-06-13
48,5000368,ANO 2,3026,2038-07-17
49,5000311,Salem 2,3459,2040-04-18
50,5000339,North Anna 2,2940,2040-08-21
51,5000327,Sequoyah 1,3455,2040-09-17
52,5000364,Farley 2,2775,2041-03-31
53,5000369,McGuire 1,3469,2041-06-12
54,5000328,Sequoyah 2,3455,2041-09-15
55,5000373,La Salle 1,3546,2042-04-17
56,5000387,Susquehanna 1,3952,2042-07-17
57,5000395,Summer,2900,2042-08-06
58,5000370,McGuire 2,3469,2043-03-03
59,5000389,Saint Lucie 2,3020,2043-04-06
60,5000413,Catawba 1,3469,2043-12-05
61,5000414,Catawba 2,3411,2043-12-05
62,5000374,La Salle 2,3546,2043-12-16
63,5000397,Columbia Generating Station,3544,2043-12-20
64,5000388,Susquehanna 2,3952,2044-03-23
65,5000483,Callaway,3565,2044-10-18
66,5000352,Limerick 1,3515,2044-10-26
67,5000454,Byron 1,3645,2044-10-31
68,5000416,Grand Gulf 1,4408,2044-11-01
69,5000382,Waterford 3,3716,2044-12-18
70,5000482,Wolf Creek 1,3565,2045-03-11
71,5000341,Fermi 2,3486,2045-03-20
72,5000528,Palo Verde 1,3990,2045-06-01
73,5000458,River Bend 1,3091,2045-08-29
74,5000423,Millstone 3,3650,2045-11-25
75,5000354,Hope Creek 1,3902,2046-04-11
76,5000529,Palo Verde 2,3990,2046-04-24
77,5000456,Braidwood 1,3645,2046-10-17
78,5000400,Shearon Harris 1,2948,2046-10-24
79,5000410,Nine Mile Point 2,3988,2046-10-31
80,5000455,Byron 2,3645,2046-11-06
81,5000424,Vogtle 1,3625,2047-01-16
82,5000412,Beaver Valley 2,2900,2047-05-27
83,5000498,South Texas 1,3853,2047-08-20
84,5000530,Palo Verde 3,3990,2047-11-25
85,5000457,Braidwood 2,3645,2047-12-18
86,5000499,South Texas 2,3853,2048-12-15
87,5000425,Vogtle 2,3625,2049-02-09
88,5000353,Limerick 2,3515,2049-06-22
89,5000443,Seabrook 1,3648,2050-03-15
90,5000250,Turkey Point 3,2644,2052-07-19
91,5000251,Turkey Point 4,2644,2053-04-10
92,5000277,Peach Bottom 2,4016,2053-08-08
93,5000278,Peach Bottom 3,4016,2054-07-02
94,5000391,Watts Bar 2,3411,2055-10-22
