YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,"GENERATION
(Megawatthours)"
2020,1,AK,Total Electric Power Industry,Total,"560,949"
2020,1,AK,Total Electric Power Industry,Coal,"49,127"
2020,1,AK,Total Electric Power Industry,Hydroelectric Conventional,"155,992"
2020,1,AK,Total Electric Power Industry,Natural Gas,"228,403"
2020,1,AK,Total Electric Power Industry,Other,-245
2020,1,AK,Total Electric Power Industry,Petroleum,"110,164"
2020,1,AK,Total Electric Power Industry,Other Biomass,"3,296"
2020,1,AK,Total Electric Power Industry,Wind,"14,212"
2020,1,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,0
2020,1,AK,"Combined Heat and Power, Industrial Power",Total,"9,538"
2020,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas,"4,290"
2020,1,AK,"Combined Heat and Power, Industrial Power",Petroleum,"5,177"
2020,1,AK,"Combined Heat and Power, Industrial Power",Other Biomass,71
2020,1,AK,"Combined Heat and Power, Commercial Power",Total,"24,470"
2020,1,AK,"Combined Heat and Power, Commercial Power",Coal,"6,465"
2020,1,AK,"Combined Heat and Power, Commercial Power",Hydroelectric Conventional,"12,933"
2020,1,AK,"Combined Heat and Power, Commercial Power",Natural Gas,2
2020,1,AK,"Combined Heat and Power, Commercial Power",Petroleum,"1,845"
2020,1,AK,"Combined Heat and Power, Commercial Power",Other Biomass,"3,225"
2020,1,AK,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,0
2020,1,AK,"Combined Heat and Power, Electric Power",Total,"19,710"
2020,1,AK,"Combined Heat and Power, Electric Power",Coal,"19,710"
2020,1,AK,"Combined Heat and Power, Electric Power",Petroleum,0
2020,1,AK,"Combined Heat and Power, Electric Power",Other Biomass,0
2020,1,AK,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,0
2020,1,AK,"Electric Generators, Independent Power Producers",Total,"5,364"
2020,1,AK,"Electric Generators, Independent Power Producers",Petroleum,204
2020,1,AK,"Electric Generators, Independent Power Producers",Wind,"5,160"
2020,1,AK,"Electric Generators, Electric Utilities",Total,"501,867"
2020,1,AK,"Electric Generators, Electric Utilities",Coal,"22,952"
2020,1,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"143,059"
2020,1,AK,"Electric Generators, Electric Utilities",Natural Gas,"224,111"
2020,1,AK,"Electric Generators, Electric Utilities",Other,-245
2020,1,AK,"Electric Generators, Electric Utilities",Petroleum,"102,939"
2020,1,AK,"Electric Generators, Electric Utilities",Wind,"9,051"
2020,1,AL,Total Electric Power Industry,Total,"11,423,817"
2020,1,AL,Total Electric Power Industry,Coal,"1,954,550"
2020,1,AL,Total Electric Power Industry,Hydroelectric Conventional,"1,219,678"
2020,1,AL,Total Electric Power Industry,Natural Gas,"3,938,905"
2020,1,AL,Total Electric Power Industry,Nuclear,"3,994,825"
2020,1,AL,Total Electric Power Industry,Other Gases,312
2020,1,AL,Total Electric Power Industry,Other,0
2020,1,AL,Total Electric Power Industry,Petroleum,362
2020,1,AL,Total Electric Power Industry,Solar Thermal and Photovoltaic,"18,344"
2020,1,AL,Total Electric Power Industry,Other Biomass,"3,643"
2020,1,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,"293,197"
2020,1,AL,"Combined Heat and Power, Industrial Power",Total,"411,861"
2020,1,AL,"Combined Heat and Power, Industrial Power",Coal,0
2020,1,AL,"Combined Heat and Power, Industrial Power",Natural Gas,"118,046"
2020,1,AL,"Combined Heat and Power, Industrial Power",Other Gases,312
2020,1,AL,"Combined Heat and Power, Industrial Power",Other,0
2020,1,AL,"Combined Heat and Power, Industrial Power",Petroleum,306
2020,1,AL,"Combined Heat and Power, Industrial Power",Other Biomass,0
2020,1,AL,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"293,197"
2020,1,AL,"Combined Heat and Power, Electric Power",Total,"186,647"
2020,1,AL,"Combined Heat and Power, Electric Power",Natural Gas,"186,647"
2020,1,AL,"Electric Generators, Independent Power Producers",Total,"2,447,358"
2020,1,AL,"Electric Generators, Independent Power Producers",Natural Gas,"2,426,719"
2020,1,AL,"Electric Generators, Independent Power Producers",Other,0
2020,1,AL,"Electric Generators, Independent Power Producers",Petroleum,70
2020,1,AL,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"16,925"
2020,1,AL,"Electric Generators, Independent Power Producers",Other Biomass,"3,643"
2020,1,AL,"Electric Generators, Electric Utilities",Total,"8,377,951"
2020,1,AL,"Electric Generators, Electric Utilities",Coal,"1,954,550"
2020,1,AL,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"1,219,678"
2020,1,AL,"Electric Generators, Electric Utilities",Natural Gas,"1,207,493"
2020,1,AL,"Electric Generators, Electric Utilities",Nuclear,"3,994,825"
2020,1,AL,"Electric Generators, Electric Utilities",Petroleum,-14
2020,1,AL,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,"1,419"
2020,1,AR,Total Electric Power Industry,Total,"4,371,876"
2020,1,AR,Total Electric Power Industry,Coal,"854,701"
2020,1,AR,Total Electric Power Industry,Pumped Storage,"1,123"
2020,1,AR,Total Electric Power Industry,Hydroelectric Conventional,"385,918"
2020,1,AR,Total Electric Power Industry,Natural Gas,"1,634,540"
2020,1,AR,Total Electric Power Industry,Nuclear,"1,385,498"
2020,1,AR,Total Electric Power Industry,Other,513
2020,1,AR,Total Electric Power Industry,Petroleum,"1,807"
2020,1,AR,Total Electric Power Industry,Solar Thermal and Photovoltaic,"10,807"
2020,1,AR,Total Electric Power Industry,Other Biomass,"9,723"
2020,1,AR,Total Electric Power Industry,Wood and Wood Derived Fuels,"87,247"
2020,1,AR,"Combined Heat and Power, Industrial Power",Total,"115,080"
2020,1,AR,"Combined Heat and Power, Industrial Power",Coal,"4,269"
2020,1,AR,"Combined Heat and Power, Industrial Power",Natural Gas,"23,018"
2020,1,AR,"Combined Heat and Power, Industrial Power",Other,531
2020,1,AR,"Combined Heat and Power, Industrial Power",Petroleum,15
2020,1,AR,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,"87,247"
2020,1,AR,"Combined Heat and Power, Commercial Power",Total,"4,969"
2020,1,AR,"Combined Heat and Power, Commercial Power",Natural Gas,"3,716"
2020,1,AR,"Combined Heat and Power, Commercial Power",Other,-18
2020,1,AR,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,898
2020,1,AR,"Combined Heat and Power, Commercial Power",Other Biomass,374
2020,1,AR,"Combined Heat and Power, Electric Power",Total,"117,338"
2020,1,AR,"Combined Heat and Power, Electric Power",Natural Gas,"113,932"
2020,1,AR,"Combined Heat and Power, Electric Power",Petroleum,0
2020,1,AR,"Combined Heat and Power, Electric Power",Other Biomass,"3,406"
2020,1,AR,"Electric Generators, Independent Power Producers",Total,"340,342"
2020,1,AR,"Electric Generators, Independent Power Producers",Coal,"319,818"
2020,1,AR,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,"4,762"
2020,1,AR,"Electric Generators, Independent Power Producers",Petroleum,0
2020,1,AR,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"9,819"
2020,1,AR,"Electric Generators, Independent Power Producers",Other Biomass,"5,944"
2020,1,AR,"Electric Generators, Electric Utilities",Total,"3,794,147"
2020,1,AR,"Electric Generators, Electric Utilities",Coal,"530,613"
2020,1,AR,"Electric Generators, Electric Utilities",Pumped Storage,"1,123"
2020,1,AR,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"381,156"
2020,1,AR,"Electric Generators, Electric Utilities",Natural Gas,"1,493,874"
2020,1,AR,"Electric Generators, Electric Utilities",Nuclear,"1,385,498"
2020,1,AR,"Electric Generators, Electric Utilities",Petroleum,"1,792"
2020,1,AR,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,90
2020,1,AZ,Total Electric Power Industry,Total,"8,569,655"
2020,1,AZ,Total Electric Power Industry,Coal,"1,133,561"
2020,1,AZ,Total Electric Power Industry,Pumped Storage,"-5,149"
2020,1,AZ,Total Electric Power Industry,Hydroelectric Conventional,"520,256"
2020,1,AZ,Total Electric Power Industry,Natural Gas,"3,534,418"
2020,1,AZ,Total Electric Power Industry,Nuclear,"2,975,994"
2020,1,AZ,Total Electric Power Industry,Other,-415
2020,1,AZ,Total Electric Power Industry,Petroleum,"2,529"
2020,1,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,"345,355"
2020,1,AZ,Total Electric Power Industry,Other Biomass,"2,687"
2020,1,AZ,Total Electric Power Industry,Wind,"42,505"
2020,1,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,"17,915"
2020,1,AZ,"Combined Heat and Power, Commercial Power",Total,"10,960"
2020,1,AZ,"Combined Heat and Power, Commercial Power",Natural Gas,"10,125"
2020,1,AZ,"Combined Heat and Power, Commercial Power",Petroleum,1
2020,1,AZ,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,835
2020,1,AZ,"Combined Heat and Power, Electric Power",Total,"1,357"
2020,1,AZ,"Combined Heat and Power, Electric Power",Natural Gas,"1,357"
2020,1,AZ,"Combined Heat and Power, Electric Power",Petroleum,0
2020,1,AZ,"Electric Generators, Independent Power Producers",Total,"1,480,279"
2020,1,AZ,"Electric Generators, Independent Power Producers",Natural Gas,"1,114,985"
2020,1,AZ,"Electric Generators, Independent Power Producers",Other,-415
2020,1,AZ,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,"302,603"
2020,1,AZ,"Electric Generators, Independent Power Producers",Other Biomass,"2,687"
2020,1,AZ,"Electric Generators, Independent Power Producers",Wind,"42,505"
2020,1,AZ,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,"17,915"
2020,1,AZ,"Electric Generators, Electric Utilities",Total,"7,077,058"
2020,1,AZ,"Electric Generators, Electric Utilities",Coal,"1,133,561"
2020,1,AZ,"Electric Generators, Electric Utilities",Pumped Storage,"-5,149"
2020,1,AZ,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"520,256"
2020,1,AZ,"Electric Generators, Electric Utilities",Natural Gas,"2,407,951"
2020,1,AZ,"Electric Generators, Electric Utilities",Nuclear,"2,975,994"
2020,1,AZ,"Electric Generators, Electric Utilities",Other,0
2020,1,AZ,"Electric Generators, Electric Utilities",Petroleum,"2,528"
