Docket Number,License Number,"Plant Name, Unit Number",2019 Capacity Factor (Percent),2018 Capacity Factor (Percent),2017 Capacity Factor (Percent),2016 Capacity Factor (Percent),2015 Capacity Factor (Percent)
5000313,DPR-51,"Arkansas Nuclear One, Unit 1",87.00%,76.00%,87.00%,72.00%,82.00%
5000368,NPF-6,"Arkansas Nuclear One, Unit 2",82.00%,82.00%,70.00%,94.00%,89.00%
5000334,DPR-66,"Beaver Valley Power Station, Unit 1",91.00%,92.00%,99.00%,91.00%,90.00%
5000412,NPF-73,"Beaver Valley Power Station, Unit 2",100.00%,90.00%,90.00%,97.00%,90.00%
5000456,NPF-72,"Braidwood Station, Unit 1",94.00%,93.00%,98.00%,90.00%,93.00%
5000457,NPF-77,"Braidwood Station, Unit 2",100.00%,92.00%,88.00%,95.00%,91.00%
5000259,DPR-33,"Browns Ferry Nuclear Plant, Unit 1",99.00%,82.00%,97.00%,83.00%,94.00%
5000260,DPR-52,"Browns Ferry Nuclear Plant, Unit 2",80.00%,97.00%,83.00%,94.00%,85.00%
5000296,DPR-68,"Browns Ferry Nuclear Plant, Unit 3",94.00%,76.00%,93.00%,80.00%,92.00%
5000325,DPR-71,"Brunswick Steam Electric Plant, Unit 1",92.00%,85.00%,93.00%,83.00%,93.00%
5000324,DPR-62,"Brunswick Steam Electric Plant, Unit 2",85.00%,93.00%,82.00%,92.00%,81.00%
5000454,NPF-37,"Byron Station, Unit 1",100.00%,94.00%,89.00%,97.00%,88.00%
5000455,NPF-66,"Byron Station, Unit 2",95.00%,100.00%,89.00%,86.00%,94.00%
5000483,NPF-30,Callaway Plant,86.00%,100.00%,77.00%,87.00%,96.00%
5000317,DPR-53,"Calvert Cliffs Nuclear Power Plant, Unit 1",100.00%,92.00%,97.00%,89.00%,97.00%
5000318,DPR-69,"Calvert Cliffs Nuclear Power Plant, Unit 2",92.00%,100.00%,91.00%,95.00%,86.00%
5000413,NPF-35,"Catawba Nuclear Station, Unit 1",100.00%,93.00%,90.00%,97.00%,88.00%
5000414,NPF-52,"Catawba Nuclear Station, Unit 2",92.00%,91.00%,96.00%,88.00%,86.00%
5000461,NPF-62,"Clinton Power Station, Unit 1",87.00%,88.00%,84.00%,89.00%,87.00%
5000397,NPF-21,Columbia Generating Station,88.00%,96.00%,77.00%,92.00%,78.00%
5000445,NPF-87,"Comanche Peak Nuclear Power Plant, Unit 1",89.00%,100.00%,91.00%,92.00%,100.00%
5000446,NPF-89,"Comanche Peak Nuclear Power Plant, Unit 2",94.00%,93.00%,68.00%,100.00%,88.00%
5000298,DPR-46,Cooper Nuclear Station,100.00%,81.00%,99.00%,84.00%,97.00%
5000346,NPF-3,"Davis-Besse Nuclear Power Station, Unit 1",98.00%,93.00%,97.00%,79.00%,97.00%
5000275,DPR-80,"Diablo Canyon Nuclear Power Plant, Unit 1",89.00%,98.00%,81.00%,98.00%,87.00%
5000323,DPR-82,"Diablo Canyon Nuclear Power Plant, Unit 2",75.00%,87.00%,95.00%,88.00%,95.00%
5000315,DPR-58,"Donald C. Cook Nuclear Plant, Unit 1",79.00%,100.00%,72.00%,82.00%,78.00%
5000316,DPR-74,"Donald C. Cook Nuclear Plant, Unit 2",84.00%,79.00%,104.00%,71.00%,79.00%
5000237,DPR-19,"Dresden Nuclear Power Station, Unit 2",89.00%,99.00%,84.00%,91.00%,83.00%
5000249,DPR-25,"Dresden Nuclear Power Station, Unit 3",99.00%,94.00%,91.00%,84.00%,89.00%
5000331,DPR-49,Duane Arnold Energy Center,99.00%,93.00%,88.00%,79.00%,88.00%
5000321,DPR-57,"Edwin I. Hatch Nuclear Plant, Unit 1",98.00%,91.00%,97.00%,93.00%,101.00%
5000366,NPF-5,"Edwin I. Hatch Nuclear Plant, Unit 2",82.00%,95.00%,95.00%,101.00%,91.00%
5000341,NPF-43,"Fermi, Unit 2",99.00%,75.00%,82.00%,86.00%,69.00%
5000416,NPF-29,"Grand Gulf Nuclear Station, Unit 1",88.00%,57.00%,58.00%,47.00%,93.00%
5000261,DPR-23,"H. B. Robinson Steam Electric Plant, Unit 2",94.00%,79.00%,88.00%,95.00%,85.00%
5000354,NPF-57,"Hope Creek Generating Station, Unit 1",84.00%,90.00%,94.00%,85.00%,83.00%
5000286,DPR-64,"Indian Point Nuclear Generating, Unit 3",91.00%,92.00%,78.00%,102.00%,86.00%
5000333,DPR-59,James A. FitzPatrick Nuclear Power Plant,100.00%,89.00%,80.00%,76.00%,96.00%
5000348,NPF-2,"Joseph M. Farley Nuclear Plant, Unit 1",91.00%,84.00%,100.00%,86.00%,86.00%
5000364,NPF-8,"Joseph M. Farley Nuclear Plant, Unit 2",92.00%,99.00%,91.00%,90.00%,98.00%
5000373,NPF-11,"LaSalle County Station, Unit  1",99.00%,92.00%,96.00%,89.00%,99.00%
5000374,NPF-18,"LaSalle County Station, Unit  2",92.00%,98.00%,88.00%,95.00%,83.00%
5000352,NPF-39,"Limerick Generating Station, Unit 1",99.00%,92.00%,100.00%,93.00%,100.00%
5000353,NPF-85,"Limerick Generating Station, Unit 2",91.00%,99.00%,86.00%,101.00%,89.00%
